default_form	name	form	type1	type2	ability1	ability2	abilityh	base stat total	hp	attack	defense	special attack	special defense	speed	group1	group2	catch_rate	egg_cycles	base_happiness	category	percentage_male	exp_group	height_m	weight_kg	name_romaji	name_katakana	natdex	is_legendary	is_mythical	is_ub	generation	subgeneration
y	Bulbasaur		Grass	Poison	Overgrow	Overgrow	Chlorophyll	318	45	49	49	65	65	45	Monster	Grass	45	20	70	Seed	0.875	Medium Slow	0.7	6.9	Fushigidane	フシギダネ	1	FALSE	FALSE	FALSE	1	
y	Ivysaur		Grass	Poison	Overgrow	Overgrow	Chlorophyll	405	60	62	63	80	80	60	Monster	Grass	45	20	70	Seed	0.875	Medium Slow	1	13	Fushigisou	フシギソウ	2	FALSE	TRUE	FALSE	1	
y	Venusaur		Grass	Poison	Overgrow	Overgrow	Chlorophyll	525	80	82	83	100	100	80	Monster	Grass	45	20	70	Seed	0.875	Medium Slow	2	100	Fushigibana	フシギバナ	3	FALSE	FALSE	FALSE	1	
	Venusaur	Mega	Grass	Poison	Thick Fat	Thick Fat	Thick Fat	625	80	100	123	122	120	80	Monster	Grass	45	20	70	Seed	0.875	Medium Slow	2.4	100	Fushigibana	フシギバナ	3	FALSE	FALSE	FALSE	6	
y	Charmander		Fire		Blaze	Blaze	Solar Power	309	39	52	43	60	50	65	Monster	Dragon	45	20	70	Lizard	0.875	Medium Slow	0.6	8.5	Hitokage	ヒトカゲ	4	FALSE	FALSE	FALSE	1	
y	Charmeleon		Fire		Blaze	Blaze	Solar Power	405	58	64	58	80	65	80	Monster	Dragon	45	20	70	Flame	0.875	Medium Slow	1.1	19	Lizardo	リザード	5	FALSE	FALSE	FALSE	1	
y	Charizard		Fire	Flying	Blaze	Blaze	Solar Power	534	78	84	78	109	85	100	Monster	Dragon	45	20	70	Flame	0.875	Medium Slow	1.7	90.5	Lizardon	リザードン	6	FALSE	FALSE	FALSE	1	
	Charizard	Mega,X	Fire	Dragon	Tough Claws	Tough Claws	Tough Claws	634	78	130	111	130	85	100	Monster	Dragon	45	20	70	Flame	0.875	Medium Slow	1.7	90.5	Lizardon	リザードン	6	FALSE	FALSE	FALSE	6	
	Charizard	Mega,Y	Fire	Flying	Drought	Drought	Drought	634	78	104	78	159	115	100	Monster	Dragon	45	20	70	Flame	0.875	Medium Slow	1.7	90.5	Lizardon	リザードン	6	FALSE	FALSE	FALSE	6	
y	Squirtle		Water		Torrent	Torrent	Rain Dish	314	44	48	65	50	64	43	Monster	Water1	45	20	70	Tiny Turtle	0.875	Medium Slow	0.5	9	Zenigame	ゼニガメ	7	FALSE	FALSE	FALSE	1	
y	Wartortle		Water		Torrent	Torrent	Rain Dish	405	59	63	80	65	80	58	Monster	Water1	45	20	70	Turtle	0.875	Medium Slow	1	22.5	Kameil	カメール	8	FALSE	FALSE	FALSE	1	
y	Blastoise		Water		Torrent	Torrent	Rain Dish	530	79	83	100	85	105	78	Monster	Water1	45	20	70	Shellfish	0.875	Medium Slow	1.6	85.5	Kamex	カメックス	9	FALSE	FALSE	FALSE	1	
	Blastoise	Mega	Water		Mega Launcher	Mega Launcher	Mega Launcher	630	79	103	120	135	115	78	Monster	Water1	45	20	70	Shellfish	0.875	Medium Slow	1.6	85.5	Kamex	カメックス	9	FALSE	FALSE	FALSE	6	
y	Caterpie		Bug		Shield Dust	Shield Dust	Run Away	195	45	30	35	20	20	45	Bug		255	15	70	Worm	0.5	Medium Fast	0.3	2.9	Caterpie	キャタピー	10	FALSE	FALSE	FALSE	1	
y	Metapod		Bug		Shed Skin	Shed Skin	Shed Skin	205	50	20	55	25	25	30	Bug		120	15	70	Cocoon	0.5	Medium Fast	0.7	9.9	Transel	トランセル	11	FALSE	FALSE	FALSE	1	
y	Butterfree		Bug	Flying	Compound Eyes	Compound Eyes	Tinted Lens	395	60	45	50	90	80	70	Bug		45	15	70	Butterfly	0.5	Medium Fast	1.1	32	Butterfree	バタフリー	12	FALSE	FALSE	FALSE	1	
y	Weedle		Bug	Poison	Shield Dust	Shield Dust	Run Away	195	40	35	30	20	20	50	Bug		255	15	70	Hairy	0.5	Medium Fast	0.3	3.2	Beedle	ビードル	13	FALSE	FALSE	FALSE	1	
