default,name,form,type1,type2,ability1,ability2,abilityh,base stat total,hp,attack,defense,special attack,special defense,speed,group1,group2,catch_rate,egg_cycles,base_happiness,category,percentage_male,exp_group,height_m,weight_kg,pokedex,item_common,item_uncommon,item_rare,exp_yield
,Bulbasaur,,Grass,Poison,Overgrow,Overgrow,Chlorophyll,318,45,49,49,65,65,45,,,45,20,70,Seed,0.875,Parabolic,0.7,6.9,,,,,64
,Ivysaur,,Grass,Poison,Overgrow,Overgrow,Chlorophyll,405,60,62,63,80,80,60,,,45,20,70,Seed,0.875,Parabolic,1.0,13.0,,,,,142
,Venusaur,,Grass,Poison,Overgrow,Overgrow,Chlorophyll,525,80,82,83,100,100,80,,,45,20,70,Seed,0.875,Parabolic,2.0,100.0,,,,,236
,Charmander,,Fire,,Blaze,Blaze,Solar Power,309,39,52,43,60,50,65,,,45,20,70,Lizard,0.875,Parabolic,0.6,8.5,,,,,62
,Charmeleon,,Fire,,Blaze,Blaze,Solar Power,405,58,64,58,80,65,80,,,45,20,70,Flame,0.875,Parabolic,1.1,19.0,,,,,142
,Charizard,,Fire,Flying,Blaze,Blaze,Solar Power,534,78,84,78,109,85,100,,,45,20,70,Flame,0.875,Parabolic,1.7,90.5,,,,,240
,Squirtle,,Water,,Torrent,Torrent,Rain Dish,314,44,48,65,50,64,43,,,45,20,70,Tiny Turtle,0.875,Parabolic,0.5,9.0,,,,,63
,Wartortle,,Water,,Torrent,Torrent,Rain Dish,405,59,63,80,65,80,58,,,45,20,70,Turtle,0.875,Parabolic,1.0,22.5,,,,,142
,Blastoise,,Water,,Torrent,Torrent,Rain Dish,530,79,83,100,85,105,78,,,45,20,70,Shellfish,0.875,Parabolic,1.6,85.5,,,,,239
,Caterpie,,Bug,,Shield Dust,Shield Dust,Run Away,195,45,30,35,20,20,45,,,255,15,70,Worm,0.5,Medium,0.3,2.9,,,,,39
,Metapod,,Bug,,Shed Skin,Shed Skin,Shed Skin,205,50,20,55,25,25,30,,,120,15,70,Cocoon,0.5,Medium,0.7,9.9,,,,,72
,Butterfree,,Bug,Flying,Compound Eyes,Compound Eyes,Tinted Lens,395,60,45,50,90,80,70,,,45,15,70,Butterfly,0.5,Medium,1.1,32.0,,,,,173
,Weedle,,Bug,Poison,Shield Dust,Shield Dust,Run Away,195,40,35,30,20,20,50,,,255,15,70,Hairy Bug,0.5,Medium,0.3,3.2,,,,,39
,Kakuna,,Bug,Poison,Shed Skin,Shed Skin,Shed Skin,205,45,25,50,25,25,35,,,120,15,70,Cocoon,0.5,Medium,0.6,10.0,,,,,72
,Beedrill,,Bug,Poison,Swarm,Swarm,Sniper,395,65,90,40,45,80,75,,,45,15,70,Poison Bee,0.5,Medium,1.0,29.5,,,,,173
,Pidgey,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,,,255,15,70,Tiny Bird,0.5,Parabolic,0.3,1.8,,,,,50
,Pidgeotto,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,,,120,15,70,Bird,0.5,Parabolic,1.1,30.0,,,,,122
